time(ms),x_accel,y_accel,z_accel
14741.845,0.095123,-0.258728,0.283371
14771.388,0.047028,-0.495087,0.626617
14800.914,0.341354,-0.699326,0.547638
14830.477,0.341248,-0.917526,0.632248
14860.02,-0.120346,-1.180588,0.655518
14889.564,0.132721,-1.380707,0.173065
14919.105,-0.114456,-1.915131,-0.338821
14948.651,-0.136887,-1.882263,-0.141876
14978.185,0.047012,-1.330688,0.134842
15007.74,-0.068985,-1.170914,0.24086
15037.284,-0.189697,-0.969498,0.226532
15066.827,-0.106659,-0.970825,0.134903
15096.37,-0.126587,-0.997086,0.265762
15125.912,-0.010178,-0.960266,0.173904
15155.431,0.069016,-1.004349,0.157455
15185,-0.123367,-0.967621,0.137787
15214.548,-0.497681,-0.839401,0.044403
15244.095,-0.459167,-0.890137,-0.056656
15273.637,-0.219223,-0.917542,0.062012
15303.185,-0.047226,-1.006393,0.10994
15332.731,-0.226486,-0.83284,0.239456
15362.275,-0.315323,-1.106262,0.238693
15391.82,0.090683,-1.044662,0.110382
15421.366,0.128967,-1.021103,0.373734
15450.911,0.288544,-1.25354,0.289932
15480.459,-0.051788,-0.952271,0.660812
15510.005,0.645248,-0.181717,0.262909
15539.551,-0.235031,-1.272629,-0.713867
15569.096,-1.360031,-2.289612,0.149765
15598.638,0.31601,-1.032791,0.171524
15628.183,0.520187,-0.694962,0.434601
15657.727,0.477783,-0.60704,0.448166
15687.27,0.352417,-0.817139,0.680069
15716.813,0.107803,-1.489563,0.680832
15746.358,0.134399,-1.619812,0.51918
15775.903,0.416824,-1.287155,0.462708
15805.449,0.332748,-0.968506,0.357224
15834.997,0.330704,-0.685165,0.320374
15864.539,0.272339,-0.553528,0.250626
15894.086,0.327087,-0.417206,0.222534
15923.631,0.380341,-0.281784,0.296402
15953.172,0.241592,-0.29776,0.209152
15982.713,0.108856,-0.305695,0.587326
16012.249,0.411255,-0.729233,0.424973
16041.797,0.554413,-1.071487,0.854385
16071.338,0.255722,-0.979889,0.846497
16100.88,-0.029419,-1.561111,-0.09642
16130.422,-0.23732,-2.053589,-0.067291
16159.962,-0.30043,-1.602646,0.095657
16189.499,-0.079971,-1.21257,0.109314
16219.046,0.028275,-1.142838,0.266129
16248.587,0.042404,-1.060272,0.312073
16278.129,0.032257,-1.01239,0.286652
16307.673,-0.089096,-0.969162,0.225723
16337.215,-0.06012,-0.958435,0.208923
16366.736,0.01503,-0.925171,0.206375
16396.296,-0.034225,-0.981369,0.165268
16425.838,-0.225067,-0.919449,0.075699
16455.38,-0.274399,-0.972687,0.007309
16484.921,-0.226974,-0.89743,0.105438
16514.464,-0.194916,-0.949966,0.152374
16543.983,-0.00592,-1.028336,0.222473
16573.553,0.099655,-0.961288,0.202667
16603.098,-0.138672,-1.06752,0.228088
16632.642,-0.18158,-0.994858,0.236145
16662.158,0.145294,-0.934052,0.368546
16691.732,0.117294,-1.378647,0.387146
16721.273,0.644226,-0.897446,0.434341
16750.814,1.121857,-0.44722,-0.016647
16780.358,-2.05835,-1.953583,1.578522
16809.899,0.095535,-1.222656,-0.33371
16839.441,0.496719,-0.781265,0.288162
16868.985,0.16832,-0.575226,0.354309
16898.528,0.393372,-0.681976,0.360001
16928.069,0.66922,-1.208511,0.468414
16957.61,0.201553,-1.287598,0.545898
16987.152,0.074356,-1.360992,0.701172
17016.693,0.29924,-1.274033,0.558792
17046.233,0.216324,-0.880219,0.487762
17075.771,0.260818,-0.649582,0.479721
