time (ms),x_accel,y_accel,z_accel
13324.862,0.757889,-1.068649,0.757446
13354.411,0.360199,-0.823593,0.939957
13383.958,0.58847,-0.415054,0.919601
13413.505,1.134354,-0.769501,0.962769
13443.053,0.206924,-0.481689,1.230179
13472.601,-0.410492,-0.54068,1.244019
13502.15,-0.510788,-1.651688,1.658936
13531.701,-0.146408,-1.122787,0.518356
13561.246,0.136353,-1.231873,-0.177872
13590.795,0.256973,-1.372452,-0.364319
13620.342,0.240631,-1.087479,-0.754776
13649.888,-0.360443,-0.702362,-0.803802
13679.43,-0.987244,0.284805,0.068451
13708.977,-0.941269,-1.109085,-0.789474
13738.527,-0.372833,-2.45932,-0.995804
13768.073,0.020111,-3.241608,0.166199
13797.619,0.465118,-2.0177,1.333511
13827.168,0.359192,-1.312286,1.666656
13856.71,1.181808,-1.50029,1.622543
13886.261,1.920486,1.703842,0.079468
13915.806,0.508881,-5.08223,-0.044342
13945.355,1.344116,0.285675,1.405777
13974.902,1.310181,0.705276,1.784592
14004.451,0.852615,-1.23764,1.539505
14033.988,0.563522,-1.250565,0.949112
14063.536,0.761154,-0.576065,0.687485
14093.081,0.537933,-0.405731,0.646866
14122.626,0.626175,-0.256378,0.546188
14152.172,0.61264,-0.288956,0.682114
14181.715,0.065933,-0.353867,1.049637
14211.26,-0.445099,-0.669846,1.00174
14240.811,-0.268341,-1.46962,1.028259
14270.353,0.262558,-1.289124,0.55336
14299.896,0.261139,-1.573196,-0.120712
14329.438,0.453293,-1.402359,-0.267487
14358.978,0.05751,-0.887131,-0.771286
14388.494,-0.78624,-0.045364,-0.033707
14418.069,-0.946884,-0.638977,-0.340302
14447.615,-0.367538,-1.520645,-0.809982
14477.16,-0.195084,-2.439667,-0.678192
14506.704,0.227188,-2.680496,0.724152
14536.247,0.514984,-1.736588,1.41835
14565.798,0.524811,-0.931458,1.289108
14595.346,0.519226,-1.478851,0.802231
14624.893,0.872711,-0.61348,0.913483
14654.438,-0.369019,-0.972122,0.654785
14683.986,-0.494141,-1.008408,0.689789
