time (ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
13191.45313,0.746795654,1.42791748,-0.302383423
13201.16212,0.547271729,1.325241089,-0.456588745
13210.84212,0.388473511,1.182998657,-0.504150391
13220.52012,0.33303833,1.079940796,-0.591171265
13230.19712,0.256942749,1.093917847,-0.595184326
13239.87312,0.179367065,0.980819702,-0.404571533
13249.54813,0.136230469,0.943450928,0.057266235
13259.23312,0.118209839,0.901367188,0.238937378
13268.91213,0.106231689,0.890548706,0.143844604
13278.57012,0.072265625,0.886108398,0.090957642
13288.27012,0.028045654,0.866912842,-0.040969849
13297.95112,0.032241821,0.877471924,-0.147628784
13307.60312,0.035583496,0.881973267,-0.225616455
13317.30912,0.027893066,0.862533569,-0.125686646
13326.98912,0.041854858,0.794647217,-0.099105835
13336.66012,0.081726074,0.756118774,-0.146011353
13346.35013,0.143218994,0.708572388,-0.113647461
13356.02812,0.192047119,0.633041382,-0.085708618
13365.68313,0.275192261,0.56413269,-0.060073853
13375.38812,0.33493042,0.494216919,-0.033508301
13385.06512,0.38394165,0.418212891,0.019851685
13394.74312,0.398025513,0.328048706,0.007278442
13404.42512,0.388427734,0.291030884,0.008956909
13414.09812,0.342910767,0.275039673,0.003341675
13423.78212,0.301330566,0.274246216,0.004211426
13433.46012,0.266983032,0.300704956,0.030914307
13443.12112,0.251068115,0.324798584,0.085403442
13452.81812,0.255477905,0.34085083,0.151596069
13462.49613,0.258850098,0.354705811,0.209899902
13472.17212,0.235839844,0.374694824,0.250091553
13481.85312,0.202590942,0.416564941,0.281921387
13491.53213,0.164535522,0.49659729,0.338409424
13501.20413,0.105804443,0.641723633,0.509658813
13510.88912,0.09942627,0.878540039,0.716156006
13520.56813,0.12461853,1.223144531,0.765884399
13530.24712,0.143264771,1.677688599,0.860458374
13539.92213,0.165725708,2.248672485,1.090301514
13549.59612,0.143463135,2.79258728,1.279891968
13559.27012,0.121673584,2.767486572,1.085830688
13568.93613,0.183761597,2.089035034,0.627334595
13578.62312,0.312973022,1.507827759,0.365890503
13588.29812,0.431427002,1.085220337,0.248291016
13597.97712,0.484161377,0.726318359,0.234466553
13607.67112,0.462097168,0.48739624,0.321456909
13617.33713,0.347183228,0.382995605,0.406661987
13627.01612,0.170349121,0.451141357,0.32019043
13636.69912,0.026275635,0.610168457,0.088790894
13646.36812,-0.107681274,0.834091187,-0.124511719
13656.06513,-0.133666992,1.076171875,-0.182052612
13665.74612,0.01902771,1.258117676,-0.013931274
13675.42312,0.208679199,1.313491821,0.121124268
13685.09912,0.347640991,1.318359375,0.12210083
13694.77612,0.460098267,1.409072876,0.103439331
13704.45212,0.552200317,1.561828613,0.061126709
13714.11713,0.539352417,1.588638306,-0.025161743
13723.80512,0.399978638,1.332107544,-0.091674805
13733.48213,0.297149658,1.00553894,-0.11630249
13743.14012,0.255767822,0.772094727,-0.120742798
13752.83613,0.189117432,0.609481812,-0.207138062
13762.51412,0.135162354,0.532836914,-0.348129272
13772.16612,0.148849487,0.498901367,-0.414459229
13781.87012,0.17956543,0.477844238,-0.434173584
13791.54812,0.19631958,0.563018799,-0.490722656
13801.21212,0.252670288,0.652984619,-0.495223999
13810.90412,0.346389771,0.760360718,-0.442871094
13820.58312,0.399398804,0.904754639,-0.367141724
13830.26113,0.40663147,1.002151489,-0.368438721
13839.93812,0.433700562,1.123687744,-0.355636597
13849.61613,0.444534302,1.215774536,-0.31640625
13859.29412,0.416259766,1.237686157,-0.291931152
13868.97013,0.365921021,1.194320679,-0.222518921
13878.64512,0.329467773,1.156738281,-0.112121582
13888.32712,0.274337769,1.087463379,0.032424927
13898.00212,0.197219849,1.008209229,0.254928589
13907.68212,0.129714966,0.901046753,0.465164185
13917.36213,0.051681519,0.804412842,0.547927856
13927.04012,0.038238525,0.796966553,0.432632446
13936.71112,0.061645508,0.863876343,0.22996521
13946.39513,0.077774048,0.930786133,0.059844971
13956.07312,0.082244873,0.985488892,-0.091339111
13965.74312,0.086776733,1.029876709,-0.216888428
13975.43012,0.079147339,1.014877319,-0.323989868
13985.10912,0.080245972,0.951278687,-0.366973877
13994.78713,0.131668091,0.870925903,-0.314376831
14004.46512,0.186508179,0.802108765,-0.239303589
14014.13512,0.222106934,0.774353027,-0.195297241
14023.81612,0.255661011,0.796401978,-0.15977478
14033.50012,0.273498535,0.842147827,-0.138778687
14043.15812,0.270568848,0.898864746,-0.133850098
14052.85712,0.252151489,0.936798096,-0.12147522
14062.51612,0.21697998,0.952224731,-0.088485718
14072.20012,0.174041748,0.957794189,-0.043395996
14081.88613,0.122375488,0.967330933,0.033721924
14091.55012,0.054016113,0.9790802,0.130477905
14101.23212,0.012954712,0.989654541,0.230697632
14110.90512,-0.007263184,1.021484375,0.304489136
14120.58412,-0.006652832,1.097503662,0.308670044
14130.26212,-0.008178711,1.200958252,0.232284546
14139.95713,-0.02381897,1.289413452,0.093612671
14149.63412,-0.041519165,1.343582153,-0.058807373
14159.31213,-0.049301147,1.362808228,-0.179718018
14168.98912,-0.032287598,1.328948975,-0.266815186
14178.65513,0.024002075,1.25541687,-0.307769775
14188.34813,0.127807617,1.179702759,-0.298202515
14198.02512,0.233047485,1.1512146,-0.223251343
14207.67812,0.308547974,1.179885864,-0.12878418
14217.38112,0.329483032,1.221237183,-0.018798828
14227.05413,0.311264038,1.21434021,0.100158691
14236.71112,0.249053955,1.182128906,0.200836182
14246.41612,0.169387817,1.173461914,0.290466309
14256.09512,0.093475342,1.189300537,0.374389648
14265.76513,0.015441895,1.227508545,0.432342529
14275.45012,-0.049789429,1.262435913,0.457794189
14285.12813,-0.120910645,1.295318604,0.439437866
14294.80412,-0.18347168,1.322463989,0.374450684
14304.47912,-0.193267822,1.349655151,0.252593994
14314.15313,-0.143753052,1.333358765,0.0730896
14323.84112,-0.042831421,1.190231323,-0.135910034
14333.51913,0.064620972,1.084732056,-0.280609131
14343.17512,0.164154053,1.134658813,-0.35307312
14352.87512,0.32359314,1.276641846,-0.296813965
14362.55313,0.5418396,1.471878052,-0.232498169
14372.22813,0.721847534,1.608795166,-0.194503784
14381.91212,0.837844849,1.618911743,-0.205200195
14391.59013,0.793838501,1.482589722,-0.269821167
14401.25012,0.587097168,1.291717529,-0.451065063
14410.94712,0.443511963,1.126907349,-0.484954834
14420.62512,0.337661743,0.958984375,-0.504318237
14430.29112,0.276367188,0.871261597,-0.427078247
14439.98412,0.239700317,0.834991455,-0.267791748
14449.65512,0.207977295,0.917068481,-0.099899292
14459.34312,0.217987061,0.935852051,0.123947144
14469.02012,0.196014404,0.96257019,0.175125122
14478.67412,0.140029907,0.986541748,0.092910767
14488.34812,0.053634644,0.976074219,0.06980896
14498.05313,-0.012176514,0.963699341,0.050048828
14507.72613,-0.049591064,0.958999634,-0.106948853
14517.39813,-0.025466919,0.873062134,-0.202667236
14527.08913,0.041168213,0.757568359,-0.199050903
14536.75912,0.125930786,0.661834717,-0.152191162
14546.43213,0.173843384,0.580535889,-0.108428955
14556.13112,0.251068115,0.531036377,0.009780884
14565.78412,0.33984375,0.468429565,0.02154541
14575.47113,0.40423584,0.415710449,0.020141602
14585.16612,0.43939209,0.392364502,0.011764526
14594.84212,0.432159424,0.383605957,-0.001998901
14604.52012,0.385772705,0.370910645,-0.029327393
14614.19813,0.335891724,0.376586914,-0.025115967
14623.87812,0.293289185,0.386871338,-0.001464844
14633.55512,0.238723755,0.380065918,0.02406311
14643.22413,0.199829102,0.368759155,0.047470093
14652.91412,0.189025879,0.358322144,0.090667725
14662.59212,0.183029175,0.348449707,0.147369385
14672.24712,0.174789429,0.347717285,0.159179688
14681.94413,0.1587677,0.382034302,0.172088623
14691.62713,0.080093384,0.480712891,0.185775757
14701.28012,-0.026504517,0.68057251,0.329528809
14710.98612,-0.058853149,0.980209351,0.512573242
14720.66512,-0.041244507,1.341079712,0.676956177
14730.33812,0.006027222,1.874206543,0.921112061
14740.02312,0.078613281,2.435394287,1.325668335
14749.70212,0.116287231,2.751571655,1.521987915
14759.37412,0.131530762,2.46421814,1.07711792
14768.99412,0.212966919,1.864868164,0.62739563
14778.67113,0.315612793,1.371658325,0.457443237
14788.33412,0.411727905,0.984603882,0.345077515
14798.02712,0.45413208,0.687835693,0.293701172
14807.69613,0.467437744,0.523254395,0.323959351
14817.37913,0.423873901,0.485366821,0.38343811
14827.05512,0.344726563,0.549804688,0.381698608
14836.73013,0.214584351,0.65802002,0.200500488
14846.40512,0.11491394,0.826171875,-0.099472046
14856.08212,0.063278198,1.044235229,-0.236480713
14865.76112,0.177963257,1.23991394,-0.099945068
14875.43712,0.331665039,1.300170898,0.002960205
14885.11512,0.456085205,1.400314331,-0.006530762
14894.76412,0.593933105,1.649932861,-0.01133728
14904.46613,0.649459839,1.8046875,-0.05255127
14914.14312,0.501617432,1.66003418,-0.095916748
14923.80913,0.302307129,1.170715332,-0.109115601
14933.49812,0.227355957,0.820739746,-0.093093872
14943.17612,0.153442383,0.6590271,-0.24041748
14952.84712,0.050170898,0.580581665,-0.403305054
14962.53212,0.046020508,0.489440918,-0.466903687
14972.20712,0.087158203,0.445327759,-0.4921875
14981.88412,0.140472412,0.505447388,-0.485092163
14991.56213,0.185897827,0.610336304,-0.418838501
15001.23812,0.209411621,0.714309692,-0.347930908
15010.91512,0.190124512,0.824127197,-0.324539185
15020.59112,0.181045532,0.946533203,-0.324386597
15030.26212,0.206756592,1.107681274,-0.339782715
15039.94413,0.213607788,1.270294189,-0.335891724
15049.62212,0.212158203,1.349884033,-0.252883911
15059.28513,0.184616089,1.324508667,-0.131149292
15068.97712,0.168457031,1.242492676,-0.019287109
15078.65412,0.131347656,1.137542725,0.097518921
15088.32313,0.115219116,1.016296387,0.234466553
15098.00613,0.136993408,0.921112061,0.359741211
15107.68012,0.164367676,0.834838867,0.410644531
15117.35412,0.183609009,0.811904907,0.348480225
15127.03412,0.213851929,0.818893433,0.217300415
15136.69912,0.23890686,0.833724976,0.0831604
15146.37812,0.25038147,0.844223022,-0.042297363
15156.05713,0.25453186,0.836303711,-0.159164429
15165.73112,0.277893066,0.83392334,-0.246292114
15175.43213,0.261230469,0.813659668,-0.299453735
15185.11012,0.244094849,0.774047852,-0.333343506
15194.78313,0.258392334,0.735565186,-0.354705811
15204.46613,0.317092896,0.709381104,-0.334823608
15214.13913,0.388275146,0.711776733,-0.263946533
15223.79612,0.385192871,0.785705566,-0.152496338
15233.50313,0.323028564,0.89855957,-0.05267334
15243.18212,0.259841919,0.990570068,0.029556274
15252.85412,0.18598938,1.065582275,0.090744019
15262.53913,0.128204346,1.112350464,0.150543213
15272.21512,0.047988892,1.110137939,0.202941895
15281.89313,-0.011642456,1.075515747,0.248168945
15291.57212,-0.046966553,1.041641235,0.257873535
15301.24813,-0.04524231,1.035995483,0.217681885
15310.92712,-0.03175354,1.067886353,0.110015869
15320.60612,-0.034667969,1.129745483,-0.057495117
15330.28212,-0.049468994,1.200195313,-0.231613159
15339.96012,-0.044494629,1.298400879,-0.352920532
15349.63813,-0.021957397,1.383651733,-0.408676147
15359.30412,0.017608643,1.394088745,-0.394760132
15368.99712,0.076843262,1.323303223,-0.311233521
15378.67612,0.169799805,1.219299316,-0.145477295
15388.34413,0.245300293,1.19619751,0.015075684
15398.03212,0.302856445,1.232879639,0.133453369
15407.70812,0.298278809,1.265396118,0.216522217
15417.38113,0.240768433,1.288513184,0.269836426
15426.99813,0.167922974,1.317596436,0.294143677
15436.67313,0.083358765,1.329940796,0.308013916
15446.34012,0.002212524,1.318115234,0.307281494
15456.02812,-0.069763184,1.316589355,0.279632568
15465.69713,-0.13822937,1.312210083,0.217834473
15475.37412,-0.166763306,1.297866821,0.127853394
15485.05712,-0.138000488,1.280059814,0.012313843
15494.73413,-0.040328979,1.252426147,-0.090316772
15504.41012,0.129302979,1.158462524,-0.091781616
15514.08713,0.265731812,1.059860229,-0.078796387
15523.74612,0.384658813,1.019226074,-0.099472046
15533.44113,0.489471436,1.055343628,-0.153503418
15543.11812,0.59564209,1.137832642,-0.25189209
15552.76512,0.738006592,1.363296509,-0.281768799
15562.47112,0.847854614,1.520172119,-0.24887085
15572.14813,0.888015747,1.4949646,-0.255279541
15581.82213,0.798080444,1.386459351,-0.292297363
