time(ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
4985.203875,0.021240234,0.935043335,0.298477173
4994.884875,0.042922974,0.9503479,0.313552856
5004.565875,0.068191528,0.996398926,0.311920166
5014.247875,0.098556519,1.039794922,0.299499512
5023.927875,0.119186401,1.066101074,0.287734985
5033.589875,0.129013062,1.054779053,0.272628784
5043.210875,0.144287109,1.004150391,0.269165039
5052.893875,0.160507202,0.9400177,0.251937866
5062.575875,0.1690979,0.888458252,0.230575562
5072.258875,0.164810181,0.866073608,0.221450806
5081.946875,0.147186279,0.866394043,0.19883728
5091.630875,0.131942749,0.883102417,0.163360596
5101.320875,0.133758545,0.906768799,0.154434204
5111.002875,0.172241211,0.903701782,0.121490479
5120.657875,0.24156189,0.862976074,0.050308228
5130.364875,0.291015625,0.823669434,0.097229004
5140.045875,0.284042358,0.82925415,0.213882446
5149.719875,0.222915649,0.875167847,0.293319702
5159.408875,0.166763306,0.950073242,0.316299438
5169.089875,0.115951538,1.055938721,0.290679932
5178.768875,0.095108032,1.151901245,0.307113647
5188.450875,0.078811646,1.163452148,0.323455811
5198.126875,0.12020874,1.080230713,0.244598389
5207.806875,0.244857788,0.883728027,0.108581543
5217.495875,0.415054321,0.690292358,0.104187012
5227.157875,0.527145386,0.547332764,0.254699707
5236.858875,0.553787231,0.471160889,0.438430786
5246.540875,0.463134766,0.515365601,0.509231567
5256.201875,0.288955688,0.689758301,0.462493896
5265.903875,0.108276367,0.912612915,0.423095703
5275.584875,0.02255249,1.105941772,0.364578247
5285.254875,0.115402222,1.194488525,0.328536987
5294.946875,0.280258179,1.1587677,0.319076538
5304.628875,0.436935425,1.054321289,0.295944214
5314.295875,0.541122437,0.96244812,0.341842651
5323.989875,0.517303467,0.866897583,0.426269531
5333.670875,0.39692688,0.793670654,0.550613403
5343.351875,0.306686401,0.742584229,0.718399048
5353.033875,0.369445801,0.653213501,1.032119751
5362.697875,0.488586426,0.55329895,1.292510986
5372.394875,0.618164063,0.561508179,1.369491577
5382.074875,0.624816895,0.779281616,1.318405151
5391.730875,0.468643188,1.04095459,1.196075439
5401.436875,0.262191772,1.136184692,1.045898438
